Município,Luminosidade
CABRÁLIA PAULISTA,32
ÓLEO,32
CÂNDIDO RODRIGUES,32
BILAC,32
PARAÍSO,32
POLONI,32
ECHAPORÃ,32
AVAÍ,24
PLANALTO,24
QUADRA,21
SABINO,21
CAMPINA DO MONTE ALEGRE,16
ANHUMAS,16
MOTUCA,16
MOMBUCA,16
PRESIDENTE ALVES,16
CAJOBI,16
RIBEIRÃO CORRENTE,16
TAQUARAL,16
PORANGABA,15
BENTO DE ABREU,6
MURUTINGA DO SUL,4
GUARANTÃ,4
TAIÚVA,4
GLICÉRIO,4
