Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3554003;Interior;Tatuí;127;6;;
3554102;Interior;Taubaté;137;5;;
3554201;Interior;Tejupá;2;0;;
3554300;Interior;Teodoro Sampaio;7;0;;
3554409;Interior;Terra Roxa;2;0;;
3554508;Interior;Tietê;15;0;;
3554607;Interior;Timburi;2;0;;
3554656;Interior;Torre de Pedra;4;1;;
3554706;Interior;Torrinha;10;0;;
3554755;Interior;Trabiju;1;0;;
3554805;Interior;Tremembé;8;0;;
3554904;Interior;Três Fronteiras;3;0;;
3554953;Interior;Tuiuti;4;0;;
3555000;Interior;Tupã;16;1;;
3555109;Interior;Tupi Paulista;39;0;;
3555406;Interior;Ubatuba;55;1;;
3555505;Interior;Ubirajara;10;1;;
3555604;Interior;Uchoa;9;1;;
3555703;Interior;União Paulista;1;0;;
3555802;Interior;Urânia;11;0;;
3555901;Interior;Uru;3;1;;
3556008;Interior;Urupês;3;0;;
3556107;Interior;Valentim Gentil;9;0;;
3556206;Interior;Valinhos;149;5;;
3556305;Interior;Valparaíso;8;0;;
3556354;Interior;Vargem;6;1;;
3556404;Interior;Vargem Grande do Sul;21;0;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;62;5;;
3556503;Interior;Várzea Paulista;130;10;;
3556701;Interior;Vinhedo;82;2;;
3556800;Interior;Viradouro;5;2;;
3556909;Interior;Vista Alegre do Alto;2;0;;
3557006;Interior;Votorantim;134;8;;
3557105;Interior;Votuporanga;51;3;;
3557154;Interior;Zacarias;2;0;;
;;Ignorado;76;0;;
